model,ticker,horizon,order_p,order_q,n_test,AIC,BIC,RMSE,MAE,ME,MAPE,SMAPE,DA,group
VARX,BIOCON.NS,12,1,,18,-19.14,-16.32,0.088165,0.075225,-0.017111,173.412439,144.237515,0.666667,VARX_group_1
VARX,MARATHON.NS,1,1,,29,-19.14,-16.32,0.125734,0.096726,-0.015397,132.742488,122.557947,0.655172,VARX_group_1
VARX,MARATHON.NS,3,1,,27,-19.14,-16.32,0.199109,0.170976,-0.011447,378.934234,167.638125,0.481481,VARX_group_1
VARX,MARATHON.NS,6,1,,24,-19.14,-16.32,0.212579,0.161776,-0.0076,387.020594,172.670562,0.375,VARX_group_1
VARX,MARATHON.NS,12,1,,18,-19.14,-16.32,0.189284,0.158983,0.000736,226.088369,163.425378,0.5,VARX_group_1
VARX,INDIGO.NS,1,1,,29,-19.14,-16.32,0.089917,0.061504,-0.000855,184.189987,104.428518,0.793103,VARX_group_1
VARX,INDIGO.NS,3,1,,27,-19.14,-16.32,0.12708,0.102707,-0.000925,285.342107,158.686043,0.407407,VARX_group_1
VARX,INDIGO.NS,6,1,,24,-19.14,-16.32,0.127176,0.097509,0.014558,348.051408,146.052479,0.5,VARX_group_1
VARX,INDIGO.NS,12,1,,18,-19.14,-16.32,0.097321,0.081699,0.014807,247.77021,126.820019,0.722222,VARX_group_1
VARX,BHARTIARTL.NS,1,1,,29,-23.32,-19.45,0.050357,0.039177,0.016523,265.683846,105.606729,0.655172,VARX_group_2
VARX,BHARTIARTL.NS,3,1,,27,-23.32,-19.45,0.062024,0.049485,0.018057,326.990514,117.736178,0.592593,VARX_group_2
VARX,BHARTIARTL.NS,6,1,,24,-23.32,-19.45,0.069098,0.056875,0.023997,249.993507,137.98347,0.5,VARX_group_2
VARX,BHARTIARTL.NS,12,1,,18,-23.32,-19.45,0.05877,0.050363,0.018991,252.775661,133.032714,0.555556,VARX_group_2
VARX,SURYAROSNI.NS,1,1,,29,-23.32,-19.45,0.178166,0.138519,0.058123,155.484589,139.027982,0.551724,VARX_group_2
VARX,SURYAROSNI.NS,3,1,,27,-23.32,-19.45,0.126406,0.108677,0.034966,146.385505,130.61743,0.592593,VARX_group_2
